Name,Party,Total Votes Cast,Votes Against Party,Rebellion Rate (%)
Neil Friske,R,1014,334,32.9
Steve Carra,R,1043,339,32.5
Matthew Maddock,R,1033,333,32.2
Josh Schriver,R,1067,322,30.2
James DeSana,R,1014,184,18.1
Joseph Fox,R,1040,148,14.2
Andrew Beeler,R,994,132,13.3
Mark Tisdel,R,1099,146,13.3
Rachelle Smit,R,1120,145,12.9
Angela Rigas,R,1041,127,12.2
William Bruck,R,878,104,11.8
Jay DeBoyer,R,1067,124,11.6
Jaime Greene,R,1048,120,11.5
Mike Mueller,R,1227,139,11.3
Phil Green,R,1044,111,10.6
Mike Hoadley,R,1061,111,10.5
Kathy Schmaltz,R,1118,117,10.5
Nancy DeBoer,R,1071,111,10.4
David Martin,R,1113,115,10.3
Dylan Wegela,D,1269,129,10.2
Tom Kuhn,R,1083,111,10.2
John Roth,R,1144,116,10.1
Donni Steele,R,1034,103,10.0
Joseph Aragona,R,1135,114,10.0
Graham Filler,R,1146,114,9.9
Bradley Slagh,R,1102,109,9.9
Luke Meerman,R,1031,101,9.8
Cam Cavitt,R,1069,100,9.4
Matthew Bierlein,R,1024,94,9.2
Brian BeGole,R,1163,105,9.0
Matthew Hall,R,1013,89,8.8
Brad Paquette,R,1091,96,8.8
Gregory Alexander,R,1041,90,8.6
Bill Schuette,R,1044,88,8.4
Curtis VanderWall,R,1007,84,8.3
Sarah Lightner,R,1061,87,8.2
David Prestin,R,1099,90,8.2
Robert Bezotte,R,1000,80,8.0
Greg VanWoerkom,R,1154,89,7.7
Jerry Neyer,R,1113,86,7.7
Ann Bollin,R,1082,82,7.6
Jamie Thompson,R,1036,79,7.6
Douglas Wozniak,R,1184,89,7.5
Bryan Posthumus,R,1062,79,7.4
Pat Outman,R,1241,92,7.4
Alicia St. Germaine,R,1099,81,7.4
Andrew Fink,R,1166,83,7.1
Gregory Markkanen,R,1106,76,6.9
Gina Johnsen,R,1185,82,6.9
Tom Kunse,R,1119,75,6.7
Pauline Wendzel,R,1241,78,6.3
Dale Zorn,R,1066,65,6.1
Timothy Beson,R,1079,59,5.5
Ken Borton,R,1085,50,4.6
Mike Harris,R,1064,49,4.6
Abraham Aiyash,D,1079,43,4.0
Lori Stone,D,632,21,3.3
Veronica Paiz,D,1184,27,2.3
Emily Dievendorf,D,1362,29,2.1
Laurie Pohutsky,D,1164,23,2.0
Carrie Rheingans,D,1212,23,1.9
Natalie Price,D,1214,22,1.8
Jaime Churches,D,1262,21,1.7
Donavan McKinney,D,1174,19,1.6
Jason Morgan,D,1178,19,1.6
Kimberly Edwards,D,1292,20,1.5
Phil Skaggs,D,1172,17,1.5
Felicia Brabec,D,1173,17,1.4
Noah Arbit,D,1369,18,1.3
Julie Rogers,D,1290,16,1.2
Alabas Farhat,D,1346,16,1.2
Peter Herzberg,D,502,6,1.2
Samantha Steckloff,D,1176,12,1.0
Regina Weiss,D,1207,12,1.0
Julie Brixie,D,1213,11,0.9
Jenn Hill,D,1191,10,0.8
Sharon MacDonell,D,1221,10,0.8
Denise Mentzer,D,1222,10,0.8
Will Snyder,D,1241,10,0.8
Helena Scott,D,1251,9,0.7
Joey Andrews,D,1284,9,0.7
Betsy Coffia,D,1271,9,0.7
Rachel Hood,D,1124,7,0.6
Matt Koleszar,D,1260,7,0.6
Karen Whitsett,D,1218,7,0.6
Ranjeev Puri,D,1168,7,0.6
Erin Byrnes,D,1239,8,0.6
Reggie Miller,D,1271,8,0.6
Brenda Carter,D,1273,6,0.5
Nate Shannon,D,1263,6,0.5
Kelly Breen,D,1402,7,0.5
Amos O'Neal,D,1220,6,0.5
Jennifer Conlin,D,1312,6,0.5
Kara Hope,D,1425,6,0.4
Kevin Coleman,D,666,2,0.3
Jim Haadsma,D,1231,4,0.3
Angela Witwer,D,1179,3,0.3
Christine Morse,D,1177,3,0.3
Carol Glanville,D,1262,4,0.3
Kristian Grant,D,1289,4,0.3
Jimmie Wilson,D,1235,4,0.3
Stephanie Young,D,1351,3,0.2
Tullio Liberati,D,1246,3,0.2
Jasper Martus,D,1179,2,0.2
Mai Xiong,D,523,1,0.2
Tyrone Carter,D,1416,2,0.1
Joseph Tate,D,1098,1,0.1
Cynthia Neeley,D,1347,2,0.1
John Fitzgerald,D,1347,2,0.1
Jason Hoskins,D,1385,1,0.1
Mike McFall,D,1306,1,0.1
Penelope Tsernoglou,D,1452,1,0.1
